decision_time,signal_time,signal,side,entry_time,entry_price,exit_time,exit_price,units,allocation_usd,gross_pnl,fee_usd,slippage_usd,net_pnl,capital_after,median_pred,low_pred,high_pred,median_ret,low_ret,high_ret,p_pos,predict_on_returns,exit_reason
2025-08-14 08:00:00,2025-08-06 23:00:00,STRONG_SELL,SHORT,2025-08-14 09:00:00,121637.78,2025-08-14 12:00:00,119370.08857142857,0.0007184684435469109,87.39290647310156,1.6292647311303863,0.17315654821507276,0.08657827410753638,1.369529908807777,972.4018240543807,113237.5892350344,113237.5892350344,113237.5892350344,-0.06905906014533976,-0.06905906014533976,-0.06905906014533976,0.0,False,trailing_sl
2025-08-14 09:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.4018240543807,116904.54419752407,116904.54419752407,116904.54419752407,-0.039007826089010295,-0.039007826089010295,-0.039007826089010295,0.0,False,none
2025-08-14 10:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.4018240543807,114404.26207042449,114404.26207042449,114404.26207042449,-0.05398640511337277,-0.05398640511337277,-0.05398640511337277,0.0,False,none
2025-08-14 11:00:00,2025-08-06 23:00:00,STRONG_SELL,SHORT,2025-08-14 12:00:00,120949.66,2025-08-14 12:00:00,119370.08857142857,0.0007235751151751418,87.51616416489425,1.1429385783559394,0.17388938975143256,0.08694469487571628,0.8821044937287905,973.2839285481094,115413.61528589018,115413.61528589018,115413.61528589018,-0.045771556996474824,-0.045771556996474824,-0.045771556996474824,0.0,False,trailing_sl
2025-08-14 12:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,116904.54419752407,116904.54419752407,116904.54419752407,-0.01650446465620114,-0.01650446465620114,-0.01650446465620114,0.0,False,none
2025-08-14 13:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,115926.39243182664,115926.39243182664,115926.39243182664,-0.02113047258479137,-0.02113047258479137,-0.02113047258479137,0.0,False,none
2025-08-14 14:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,116904.54419752407,116904.54419752407,116904.54419752407,-0.015946814729145695,-0.015946814729145695,-0.015946814729145695,0.0,False,none
2025-08-14 15:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,114079.87529700005,114079.87529700005,114079.87529700005,-0.035324470195273024,-0.035324470195273024,-0.035324470195273024,0.0,False,none
2025-08-14 16:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,116904.54419752407,116904.54419752407,116904.54419752407,-0.00816072807230363,-0.00816072807230363,-0.00816072807230363,0.0,False,none
2025-08-14 17:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.2839285481094,116660.58450079846,116660.58450079846,116660.58450079846,-0.010681344221733335,-0.010681344221733335,-0.010681344221733335,0.0,False,none
